"","ID","LC.forest","LC.broadl","LC.semieve","LC.dec","elevation","NDVI","bound.dist","village.dist"
"1","1a",0.804386750223814,0.00044762757385855,0.147717099373321,0.656222023276634,276.714073445128,0.328809627138687,1360.5586758961,1996.83032626852
"2","2a",0.301803334467506,0,0.0381082000680504,0.263695134399456,162.379620622568,0.261667348748265,680.979035397121,890.806992153731
"3","4a",0.978779840848806,0.0101679929266136,0.385646920129679,0.582964927792514,374.68311965812,0.297933836892643,1405.12321429106,3180.63877757392
"4","5a",0.988063660477454,0.00530503978779841,0.467432950191571,0.515325670498084,309.532051282051,0.291237541004974,2193.68475048019,2310.20231395799
"5","6a",0.993178962484294,0.00394902171961946,0.455573505654281,0.533656435110393,259.118639734083,0.299286996456963,665.922409265927,731.929777893407
"6","9c",0.970822281167109,0.0988800471559092,0.341880341880342,0.530061892130858,243.307264957265,0.310962107463124,4301.56143390005,4182.8401832827
"7","12b",0.93574297188755,0.0305220883534137,0.226184738955823,0.679036144578313,174.375201288245,0.296069779463673,585.869901091065,1580.08479854789
"8","12a",0.730769230769231,0.319628647214854,0.0278514588859416,0.383289124668435,237.030982905983,0.32661954285259,1553.41929165166,581.560197673954
"9","13a",0.944444444444444,0.583407014441497,0.0753020925434719,0.285735337459475,326.24531085353,0.34180195221705,2733.04944984865,1751.99870999546
"10","15a",0.942970822281167,0.80297671676982,0.0567344532861774,0.0832596522251695,412.893376068376,0.318460384349793,4962.89282584038,4880.34202801926
"11","19A",0.986047202018703,0.18925337687398,0.22933056256494,0.567463262579783,211.283043197937,0.309302555052563,1276.49231640371,4890.55341182187
"12","20",0.986301369863014,0.00876712328767123,0.379452054794521,0.598082191780822,176.432250396197,0.305160873422821,404.261627312146,5653.73258456173
"13","23a",0.956528146183319,0.889183613321544,0.0291777188328912,0.038166814028883,534.465753424658,0.342954802298341,3653.47269069769,1543.10616199945
"14","24a",0.961391099322134,0.85823754789272,0.0708812260536398,0.0322723253757737,415.927991452991,0.274999305561842,3859.74644533421,5527.36308508486
"15","27",0.892278219864427,0.502505157677571,0.0747126436781609,0.315060418508694,227.859852476291,0.302174135068391,2914.97779319479,4741.25589922106
"16","28a",0.960212201591512,0.606248157972296,0.0531977600943118,0.300766283524904,274.16688034188,0.314419157287966,2717.73683149974,6092.3946041004
"17","29a",0.847055195806352,0.0436324390995991,0.181467776749923,0.62195497995683,159.929862774995,0.291420679033734,971.545184353429,8094.28191133148
"18","31",0.903481012658228,0.0185126582278481,0.244778481012658,0.640189873417721,173.134962320164,0.306499549920284,860.390481253089,9087.68810139814
"19","37c",0.949896846448571,0.826702033598585,0.0686707928087238,0.0545240200412614,417.200126129914,0.286710886425456,2561.40879998988,7102.52942317792
"20","41",0.97397989355411,0.0719988172678888,0.15966883500887,0.742312241277351,222.068493150685,0.310030134906358,3066.00008082029,11977.6887653511
"21","61",0.894193928676687,0.0540819333922782,0.134689065723548,0.705422929560861,199.488675213675,0.30351450829436,3472.71773237682,14499.1846743141
"22","126c",0.961408160259243,0.0254823979967595,0.0854323169833554,0.850493445279128,244.119072708114,0.304454259786795,7954.07428817237,15948.7835074285
"23","127a",0.773637702503682,0.259499263622975,0.514138438880707,0,556.499360068259,0.305262355801623,1745.90185335421,5138.04471273787
"24","134c",0.653655637012086,0.143649692886863,0.50643946899148,0,411.818078453667,0.280635620585995,253.259220784839,4141.20428856134
"25","38m",0.969053934571176,0.461685823754789,0.105806071323313,0.401562039493074,393.739726027397,0.318739111478383,4718.6740235105,8494.87596604723
"26","42m",0.993290734824281,0.0579872204472843,0.50702875399361,0.428274760383387,219.743578085929,0.312469996580128,841.998949780668,11556.7471384751
"27","14m",0.932802829354553,0.2236958443855,0.178308281756558,0.530798703212496,185.170495258166,0.30708182726706,1714.18348468933,3278.43443118798
